Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	EXC_PABORT	EXC_DABORT	0EXC_IRQ	0EXC_FIQ	0EXC_SMC
3.000000	streamcluster	1	614	33.000000	5.056000	0.647000	1427870930	10098	77487	957	0	324	
4.000000	streamcluster	1	710	33.000000	5.048000	0.767000	1432335455	10094	77118	736	0	328	
3.000000	streamcluster	1	710	33.000000	5.048000	0.726000	1426238268	10061	76566	734	0	329	
3.000000	streamcluster	1	710	34.000000	5.048000	0.726000	1424792882	9410	76951	872	0	330	
4.000000	streamcluster	1	921	33.000000	5.048000	0.848000	1467261824	10097	77215	577	0	323	
3.000000	streamcluster	1	921	33.000000	5.048000	0.888000	1476075739	10701	77181	637	0	327	
4.000000	streamcluster	1	921	33.000000	5.048000	0.887000	1456806231	9775	76855	616	0	322	
3.000000	streamcluster	1	1036	33.000000	5.048000	0.888000	1478712672	9752	77212	588	0	332	
3.000000	streamcluster	1	1036	33.000000	5.048000	0.928000	1470731438	9719	76885	502	0	323	
3.000000	streamcluster	1	1036	33.000000	5.048000	0.928000	1473873402	9712	77184	525	0	325	
3.000000	streamcluster	1	1132	33.000000	5.048000	0.928000	1496462914	10431	77545	549	0	326	
3.000000	streamcluster	1	1132	33.000000	5.048000	0.928000	1485942664	9749	77792	479	0	324	
3.000000	streamcluster	1	1132	33.000000	5.048000	0.928000	1478666003	10062	76886	548	0	325	
3.000000	streamcluster	1	1224	34.000000	5.048000	1.009000	1483733460	9388	76602	564	0	326	
2.000000	streamcluster	1	1224	33.000000	5.048000	1.048000	1500635631	9751	77221	495	0	321	
2.000000	streamcluster	1	1224	34.000000	5.048000	1.090000	1502304924	9768	77833	548	0	325	
3.000000	streamcluster	1	1428	34.000000	5.040000	1.290000	1523890436	9701	77471	416	0	326	
2.000000	streamcluster	1	1428	34.000000	5.040000	1.290000	1523803033	9736	77554	480	0	326	
3.000000	streamcluster	1	1428	34.000000	5.040000	1.169000	1510135039	9396	76906	363	0	321	
2.000000	streamcluster	1	1479	34.000000	5.040000	1.370000	1532546047	9758	77170	473	0	329	
