Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	0EXC_HVC	0EXC_TRAP_PABORT	0EXC_TRAP_DABORT	0EXC_TRAP_OTHER	0EXC_TRAP_IRQ
3.000000	fluidanimate	1	1132	32.000000	5.040000	1.008000	1535399986	0	0	0	0	0	
2.875000	fluidanimate	1	1132	31.000000	5.040000	0.967000	1549293577	0	0	0	0	0	
2.875000	fluidanimate	1	1132	31.000000	5.048000	0.928000	1531948284	0	0	0	0	0	
2.875000	fluidanimate	1	1224	31.000000	5.040000	1.088000	1554202736	0	0	0	0	0	
2.875000	fluidanimate	1	1224	31.000000	5.040000	1.048000	1547629923	0	0	0	0	0	
3.625000	fluidanimate	1	1224	31.000000	5.040000	1.088000	1554246306	0	0	0	0	0	
2.625000	fluidanimate	1	1428	31.000000	5.024000	1.368000	1583405637	0	0	0	0	0	
2.875000	fluidanimate	1	1428	32.000000	5.024000	1.487000	1568919560	0	0	0	0	0	
2.625000	fluidanimate	1	1428	32.000000	5.024000	1.449000	1577131100	0	0	0	0	0	
2.625000	fluidanimate	1	1479	32.000000	5.024000	1.567000	1580236807	0	0	0	0	0	
2.875000	fluidanimate	1	1479	32.000000	5.024000	1.406000	1591821104	0	0	0	0	0	
2.625000	fluidanimate	1	1479	32.000000	5.024000	1.607000	1583171332	0	0	0	0	0	
18.625000	freqmine	1	102	30.000000	5.072000	0.243000	1473285328	0	0	0	0	0	
18.000000	freqmine	1	102	30.000000	5.072000	0.243000	1467183357	0	0	0	0	0	
21.875000	freqmine	1	102	30.000000	5.072000	0.243000	1464639385	0	0	0	0	0	
8.000000	freqmine	1	204	30.000000	5.064000	0.324000	1432997390	0	0	0	0	0	
7.750000	freqmine	1	204	30.000000	5.064000	0.324000	1441862233	0	0	0	0	0	
7.875000	freqmine	1	204	30.000000	5.064000	0.324000	1431637171	0	0	0	0	0	
6.125000	freqmine	1	307	30.000000	5.064000	0.405000	1442732727	0	0	0	0	0	
5.500000	freqmine	1	307	30.000000	5.064000	0.405000	1431237113	0	0	0	0	0	
6.125000	freqmine	1	307	31.000000	5.064000	0.405000	1426672264	0	0	0	0	0	
4.875000	freqmine	1	403	30.000000	5.064000	0.486000	1426556664	0	0	0	0	0	
4.250000	freqmine	1	403	30.000000	5.064000	0.444000	1445170972	0	0	0	0	0	
4.375000	freqmine	1	403	30.000000	5.064000	0.485000	1426261501	0	0	0	0	0	
4.250000	freqmine	1	518	30.000000	5.056000	0.525000	1440963767	0	0	0	0	0	
3.750000	freqmine	1	518	30.000000	5.056000	0.525000	1438775593	0	0	0	0	0	
3.750000	freqmine	1	518	30.000000	5.056000	0.525000	1441918773	0	0	0	0	0	
3.625000	freqmine	1	614	31.000000	5.056000	0.606000	1464714927	0	0	0	0	0	
4.125000	freqmine	1	614	31.000000	5.056000	0.606000	1455371936	0	0	0	0	0	
3.625000	freqmine	1	614	30.000000	5.056000	0.606000	1454461334	0	0	0	0	0	
3.375000	freqmine	1	710	31.000000	5.056000	0.686000	1453089571	0	0	0	0	0	
3.625000	freqmine	1	710	31.000000	5.048000	0.686000	1454948107	0	0	0	0	0	
3.500000	freqmine	1	710	31.000000	5.056000	0.647000	1463385516	0	0	0	0	0	
3.125000	freqmine	1	921	31.000000	5.048000	0.807000	1502945409	0	0	0	0	0	
3.375000	freqmine	1	921	31.000000	5.048000	0.807000	1479948142	0	0	0	0	0	
3.250000	freqmine	1	921	31.000000	5.048000	0.806000	1491358498	0	0	0	0	0	
2.750000	freqmine	1	1036	31.000000	5.048000	0.888000	1497561775	0	0	0	0	0	
2.875000	freqmine	1	1036	31.000000	5.048000	0.888000	1502567325	0	0	0	0	0	
3.250000	freqmine	1	1036	31.000000	5.048000	0.848000	1497805633	0	0	0	0	0	
3.000000	freqmine	1	1132	31.000000	5.040000	0.887000	1516382810	0	0	0	0	0	
2.750000	freqmine	1	1132	31.000000	5.040000	0.928000	1513854918	0	0	0	0	0	
2.875000	freqmine	1	1132	31.000000	5.040000	1.008000	1511703665	0	0	0	0	0	
2.875000	freqmine	1	1224	32.000000	5.040000	1.048000	1523054883	0	0	0	0	0	
2.875000	freqmine	1	1224	31.000000	5.040000	1.088000	1534087462	0	0	0	0	0	
2.875000	freqmine	1	1224	31.000000	5.040000	1.048000	1530879087	0	0	0	0	0	
2.750000	freqmine	1	1428	32.000000	5.032000	1.408000	1549470450	0	0	0	0	0	
2.875000	freqmine	1	1428	32.000000	5.040000	1.209000	1554726062	0	0	0	0	0	
2.625000	freqmine	1	1428	32.000000	5.024000	1.406000	1558406011	0	0	0	0	0	
2.750000	freqmine	1	1479	32.000000	5.032000	1.408000	1548930747	0	0	0	0	0	
3.750000	freqmine	1	1479	32.000000	5.032000	1.529000	1566721510	0	0	0	0	0	
2.875000	freqmine	1	1479	32.000000	5.032000	1.368000	1571940481	0	0	0	0	0	
22.750000	streamcluster	1	102	31.000000	5.072000	0.243000	1423763873	0	0	0	0	0	
13.500000	streamcluster	1	102	31.000000	5.072000	0.243000	1432660685	0	0	0	0	0	
19.750000	streamcluster	1	102	30.000000	5.072000	0.243000	1423441446	0	0	0	0	0	
6.625000	streamcluster	1	204	30.000000	5.064000	0.364000	1396635236	0	0	0	0	0	
9.875000	streamcluster	1	204	30.000000	5.064000	0.364000	1394677737	0	0	0	0	0	
7.125000	streamcluster	1	204	30.000000	5.064000	0.364000	1399532569	0	0	0	0	0	
5.000000	streamcluster	1	307	31.000000	5.064000	0.445000	1389428086	0	0	0	0	0	
5.375000	streamcluster	1	307	30.000000	5.056000	0.444000	1390220804	0	0	0	0	0	
5.000000	streamcluster	1	307	30.000000	5.064000	0.445000	1389629487	0	0	0	0	0	
4.125000	streamcluster	1	403	31.000000	5.056000	0.485000	1389828004	0	0	0	0	0	
4.375000	streamcluster	1	403	30.000000	5.056000	0.525000	1387122748	0	0	0	0	0	
4.250000	streamcluster	1	403	30.000000	5.056000	0.485000	1392284621	0	0	0	0	0	
5.125000	streamcluster	1	518	31.000000	5.056000	0.606000	1402456867	0	0	0	0	0	
4.000000	streamcluster	1	518	31.000000	5.056000	0.566000	1399431464	0	0	0	0	0	
3.500000	streamcluster	1	518	31.000000	5.056000	0.566000	1396681146	0	0	0	0	0	
3.750000	streamcluster	1	614	31.000000	5.056000	0.647000	1408233770	0	0	0	0	0	
3.750000	streamcluster	1	614	30.000000	5.056000	0.606000	1420575375	0	0	0	0	0	
3.750000	streamcluster	1	614	31.000000	5.056000	0.647000	1410842245	0	0	0	0	0	
3.750000	streamcluster	1	710	31.000000	5.048000	0.726000	1421196110	0	0	0	0	0	
3.500000	streamcluster	1	710	31.000000	5.048000	0.686000	1431466004	0	0	0	0	0	
3.250000	streamcluster	1	710	31.000000	5.048000	0.726000	1425130495	0	0	0	0	0	
6.250000	streamcluster	1	921	31.000000	5.048000	0.848000	1445382556	0	0	0	0	0	
3.250000	streamcluster	1	921	31.000000	5.048000	0.848000	1465141028	0	0	0	0	0	
3.750000	streamcluster	1	921	31.000000	5.048000	0.807000	1449045117	0	0	0	0	0	
3.000000	streamcluster	1	1036	31.000000	5.048000	0.848000	1455815048	0	0	0	0	0	
4.500000	streamcluster	1	1036	31.000000	5.048000	0.888000	1451551859	0	0	0	0	0	
3.000000	streamcluster	1	1036	31.000000	5.048000	0.888000	1466282890	0	0	0	0	0	
2.750000	streamcluster	1	1132	31.000000	5.048000	0.928000	1493020624	0	0	0	0	0	
2.750000	streamcluster	1	1132	31.000000	5.048000	0.928000	1483151779	0	0	0	0	0	
3.500000	streamcluster	1	1132	31.000000	5.048000	0.928000	1491809026	0	0	0	0	0	
3.000000	streamcluster	1	1224	31.000000	5.048000	1.048000	1495208967	0	0	0	0	0	
3.000000	streamcluster	1	1224	31.000000	5.048000	1.049000	1497556422	0	0	0	0	0	
2.750000	streamcluster	1	1224	31.000000	5.048000	1.049000	1477324685	0	0	0	0	0	
2.750000	streamcluster	1	1428	32.000000	5.048000	1.211000	1520009729	0	0	0	0	0	
2.750000	streamcluster	1	1428	31.000000	5.040000	1.249000	1524014681	0	0	0	0	0	
2.750000	streamcluster	1	1428	31.000000	5.040000	1.290000	1520697231	0	0	0	0	0	
2.750000	streamcluster	1	1479	31.000000	5.040000	1.370000	1532214638	0	0	0	0	0	
2.500000	streamcluster	1	1479	32.000000	5.040000	1.370000	1528497661	0	0	0	0	0	
2.750000	streamcluster	1	1479	32.000000	5.040000	1.411000	1511618782	0	0	0	0	0	
14.000000	vips	1	102	30.000000	5.072000	0.243000	1601413896	0	0	0	0	0	
12.500000	vips	1	102	30.000000	5.072000	0.243000	1613548604	0	0	0	0	0	
16.000000	vips	1	102	30.000000	5.072000	0.243000	1597133958	0	0	0	0	0	
6.500000	vips	1	204	30.000000	5.072000	0.324000	1561578935	0	0	0	0	0	
7.250000	vips	1	204	30.000000	5.072000	0.324000	1551059562	0	0	0	0	0	
7.000000	vips	1	204	30.000000	5.072000	0.324000	1583353787	0	0	0	0	0	
5.250000	vips	1	307	30.000000	5.072000	0.365000	1546161230	0	0	0	0	0	
5.250000	vips	1	307	30.000000	5.064000	0.364000	1555475089	0	0	0	0	0	
5.500000	vips	1	307	31.000000	5.072000	0.365000	1560445001	0	0	0	0	0	
4.750000	vips	1	403	31.000000	5.072000	0.405000	1561319680	0	0	0	0	0	
4.250000	vips	1	403	30.000000	5.072000	0.405000	1574748823	0	0	0	0	0	
4.250000	vips	1	403	30.000000	5.072000	0.405000	1553530980	0	0	0	0	0	
4.250000	vips	1	518	30.000000	5.072000	0.446000	1567666540	0	0	0	0	0	
3.750000	vips	1	518	30.000000	5.072000	0.446000	1559416913	0	0	0	0	0	
4.000000	vips	1	518	30.000000	5.064000	0.486000	1559146584	0	0	0	0	0	
3.250000	vips	1	614	30.000000	5.072000	0.486000	1569036560	0	0	0	0	0	
3.500000	vips	1	614	30.000000	5.072000	0.527000	1582314764	0	0	0	0	0	
3.500000	vips	1	614	30.000000	5.064000	0.526000	1572576519	0	0	0	0	0	
