Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L1D_CACHE_INVAL	L1D_TLB_REFILL_LD	L1D_TLB_REFILL_ST	L2D_CACHE_LD	L2D_CACHE_ST
14.000000	ferret	1	102	35.000000	5.072000	0.243000	1475017872	63413	4705045	574172	37363473	13868998	
8.000000	ferret	1	204	35.000000	5.072000	0.324000	1431085870	37137	4503163	561180	34028995	13124545	
6.000000	ferret	1	204	35.000000	5.072000	0.324000	1427262202	39685	4513927	558301	33982252	12810138	
8.000000	ferret	1	204	35.000000	5.064000	0.324000	1439613032	40494	4486307	559252	34214292	12895986	
6.000000	ferret	1	307	35.000000	5.072000	0.365000	1443769250	32282	4495123	556289	32914473	12897556	
6.000000	ferret	1	307	35.000000	5.072000	0.364000	1453584942	33212	4540368	555884	33231724	12912968	
6.000000	ferret	1	307	35.000000	5.072000	0.364000	1432750326	30680	4514718	556492	32664149	12633714	
4.000000	ferret	1	403	35.000000	5.072000	0.405000	1438681051	31003	4452670	552025	32381841	12610850	
4.000000	ferret	1	403	35.000000	5.072000	0.405000	1432497882	29656	4470390	551492	32106418	12406344	
4.000000	ferret	1	403	35.000000	5.072000	0.405000	1441286157	29026	4470211	548631	32280197	12619695	
4.000000	ferret	1	518	35.000000	5.072000	0.446000	1451732531	24682	4478629	553568	31658728	12465047	
4.000000	ferret	1	518	35.000000	5.072000	0.405000	1436409526	24061	4430193	547108	31582192	12471673	
4.000000	ferret	1	518	35.000000	5.072000	0.446000	1446498650	28086	4394375	551172	31611214	12393783	
4.000000	ferret	1	614	35.000000	5.072000	0.486000	1455941072	22443	4422281	546481	31428197	12446724	
2.000000	ferret	1	614	35.000000	5.072000	0.486000	1464354040	21323	4379397	547752	31521045	12463726	
4.000000	ferret	1	614	35.000000	5.072000	0.446000	1456258275	24565	4370834	548331	31338407	12328924	
4.000000	ferret	1	710	36.000000	5.064000	0.526000	1473356975	22003	4431442	547196	31269047	12308544	
4.000000	ferret	1	710	35.000000	5.064000	0.526000	1477365448	23382	4412827	539636	31316979	12428987	
2.000000	ferret	1	710	36.000000	5.072000	0.486000	1481279165	20525	4465251	555171	31410107	12350190	
2.000000	ferret	1	921	35.000000	5.064000	0.567000	1498936825	18746	4435938	550871	30921055	12417662	
2.000000	ferret	1	921	36.000000	5.064000	0.567000	1492073509	23169	4376963	546649	30611019	12239164	
4.000000	ferret	1	921	36.000000	5.064000	0.567000	1499721288	21812	4421291	543612	30746911	12286402	
2.000000	ferret	1	1036	36.000000	5.064000	0.607000	1524721910	20592	4478710	552522	30820627	12371349	
4.000000	ferret	1	1036	35.000000	5.056000	0.647000	1525235301	20808	4454785	548658	30882390	12340729	
4.000000	ferret	1	1036	36.000000	5.064000	0.607000	1530030392	17436	4447477	545856	30679072	12298826	
2.000000	ferret	1	1132	35.000000	5.056000	0.728000	1512634239	19664	4367610	540247	30456293	12176971	
2.000000	ferret	1	1132	36.000000	5.064000	0.648000	1518167879	19441	4396621	551302	30603368	12253645	
2.000000	ferret	1	1132	36.000000	5.064000	0.648000	1525212670	21214	4450721	547291	30613542	12228313	
