Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	BUS_ACCESS_PERIPH	MEM_ACCESS_LD	MEM_ACCESS_ST	UNALIGNED_LD_SPEC	UNALIGNED_ST_SPEC
18.000000	freqmine	1	102	35.000000	5.072000	0.243000	1490019497	30757	266665502	202313758	948182	84613	
14.000000	freqmine	1	102	35.000000	5.072000	0.243000	1462109489	31459	261067995	198320720	948493	83013	
8.000000	freqmine	1	204	35.000000	5.064000	0.324000	1440893657	16613	259519661	196856500	1160520	83602	
8.000000	freqmine	1	204	35.000000	5.064000	0.324000	1435177029	16043	259349105	196790023	1159776	83703	
8.000000	freqmine	1	204	35.000000	5.064000	0.324000	1453479800	16909	262147119	198483570	937060	84191	
6.000000	freqmine	1	307	35.000000	5.056000	0.404000	1426301206	12202	256488226	194472845	1288196	83162	
4.000000	freqmine	1	307	35.000000	5.056000	0.444000	1429613928	11369	256942911	194885473	936128	83618	
6.000000	freqmine	1	307	35.000000	5.056000	0.444000	1417950039	10690	254595525	193387926	935698	83028	
6.000000	freqmine	1	403	35.000000	5.056000	0.485000	1431800630	8790	256354024	194411277	1158126	83317	
4.000000	freqmine	1	403	35.000000	5.056000	0.485000	1437385059	9146	256685707	194609356	936136	83982	
4.000000	freqmine	1	403	35.000000	5.056000	0.485000	1431229901	8585	255525415	193845703	933592	83461	
4.000000	freqmine	1	518	35.000000	5.056000	0.566000	1438876340	7834	253980460	192968071	1040218	83334	
4.000000	freqmine	1	518	35.000000	5.056000	0.565000	1457233307	7561	258242210	195798480	1288625	84700	
4.000000	freqmine	1	518	35.000000	5.056000	0.566000	1466779964	7651	259422452	196563838	1289803	83502	
4.000000	freqmine	1	614	36.000000	5.048000	0.605000	1461334460	6329	255570437	193781840	934762	83258	
2.000000	freqmine	1	614	35.000000	5.048000	0.605000	1470926635	5635	258017587	195709981	1154387	84219	
4.000000	freqmine	1	614	36.000000	5.048000	0.605000	1449497308	5696	253740278	192533432	1153541	82422	
4.000000	freqmine	1	710	36.000000	5.048000	0.726000	1467624729	5674	255307608	193693923	1044809	83166	
4.000000	freqmine	1	710	36.000000	5.048000	0.686000	1458699541	5624	252808071	192056917	1285962	82736	
2.000000	freqmine	1	710	35.000000	5.048000	0.686000	1477376821	5877	256268134	194613027	1157967	83336	
2.000000	freqmine	1	921	36.000000	5.040000	0.887000	1483115802	4335	252284498	191570843	929703	83281	
4.000000	freqmine	1	921	36.000000	5.048000	0.807000	1491736690	4587	253349277	192474683	1284494	82093	
4.000000	freqmine	1	921	36.000000	5.040000	0.806000	1495590310	4533	253848008	192785037	930786	83251	
2.000000	freqmine	1	1036	36.000000	5.040000	0.967000	1511969344	4396	254130275	192778921	1041909	83226	
2.000000	freqmine	1	1036	36.000000	5.040000	0.927000	1516850328	4476	255073618	193665395	1156725	82960	
4.000000	freqmine	1	1036	36.000000	5.040000	0.927000	1528099909	4693	257573188	195025454	931912	83945	
4.000000	freqmine	1	1132	36.000000	5.040000	0.887000	1509042200	4252	252101111	191336886	1155053	82460	
2.000000	freqmine	1	1132	36.000000	5.032000	1.008000	1527290905	4503	255200169	193566219	1036429	83216	
4.000000	freqmine	1	1132	36.000000	5.040000	0.887000	1522597519	4052	254845028	193442345	1042146	83358	
2.000000	freqmine	1	1224	36.000000	5.032000	1.006000	1542849813	3786	256457058	194394704	1040601	83846	
2.000000	freqmine	1	1224	36.000000	5.032000	1.086000	1543068919	3832	255613200	193909707	928839	84033	
2.000000	freqmine	1	1224	36.000000	5.032000	1.046000	1521984150	3585	252376214	191591894	1042270	83162	
4.000000	freqmine	1	1428	36.000000	5.024000	1.366000	1568043645	3795	255799072	193809632	1044585	84184	
2.000000	freqmine	1	1428	37.000000	5.024000	1.366000	1569993638	3476	255987746	193960727	1043278	84041	
2.000000	freqmine	1	1428	37.000000	5.032000	1.247000	1561382858	3647	254473094	193093740	1153415	83075	
2.000000	freqmine	1	1479	37.000000	5.032000	1.328000	1564541377	3623	253574888	192552525	1043840	82327	
2.000000	freqmine	1	1479	37.000000	5.024000	1.446000	1567319917	3654	253304362	192120354	1043191	83068	
4.000000	freqmine	1	1479	36.000000	5.024000	1.487000	1568222010	3748	253802154	192687114	1042313	83057	
24.000000	streamcluster	1	102	35.000000	5.072000	0.243000	1434374701	30530	258218647	194907283	1295973	59066	
18.000000	streamcluster	1	102	35.000000	5.072000	0.243000	1433418794	31301	256423833	193701104	1293782	59347	
22.000000	streamcluster	1	102	35.000000	5.064000	0.243000	1445516966	31162	259403390	195746394	942925	59836	
8.000000	streamcluster	1	204	35.000000	5.056000	0.364000	1407403999	16753	254956165	191926124	1044253	59820	
8.000000	streamcluster	1	204	35.000000	5.056000	0.364000	1402806418	16124	254626716	191799158	1286595	59929	
8.000000	streamcluster	1	204	35.000000	5.056000	0.404000	1399494688	16587	253452382	191133416	1040357	59443	
6.000000	streamcluster	1	307	35.000000	5.056000	0.444000	1388169199	10624	250548016	188950271	1151282	60066	
6.000000	streamcluster	1	307	35.000000	5.056000	0.444000	1415351905	11616	255822408	192631987	925891	60048	
6.000000	streamcluster	1	307	35.000000	5.056000	0.444000	1400181197	11670	252369984	190326342	927767	60048	
6.000000	streamcluster	1	403	35.000000	5.056000	0.525000	1403803513	8902	252050772	190090138	1283340	60071	
4.000000	streamcluster	1	403	35.000000	5.056000	0.524000	1406320966	8466	251584501	189626559	1281586	59978	
4.000000	streamcluster	1	403	35.000000	5.056000	0.525000	1401531344	8627	250923942	189148129	1146323	60182	
4.000000	streamcluster	1	518	35.000000	5.048000	0.565000	1417573598	7295	251438087	189571153	1147717	59373	
4.000000	streamcluster	1	518	35.000000	5.048000	0.566000	1392426853	6654	247950236	187174621	1146550	58853	
