Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	UNALIGNED_LDST_SPEC	LDREX_SPEC	STREX_PASS_SPEC	STREX_FAIL_SPEC	LD_SPEC
9.750000	streamcluster	1	204	34.000000	5.064000	0.364000	1407800637	1095794	3817867	3759037	121	297387365	
10.250000	streamcluster	1	204	34.000000	5.064000	0.364000	1395848601	1344118	3758410	3698313	262	295137063	
7.500000	streamcluster	1	204	33.000000	5.064000	0.364000	1386333717	995006	3667076	3608608	151	292949451	
5.250000	streamcluster	1	307	34.000000	5.056000	0.444000	1394202992	989702	3739400	3681817	408	293196910	
5.000000	streamcluster	1	307	34.000000	5.056000	0.444000	1392613117	1341089	3705869	3648788	149	292611747	
5.000000	streamcluster	1	307	34.000000	5.056000	0.444000	1390800093	1210676	3684710	3627401	129	291448114	
5.000000	streamcluster	1	403	34.000000	5.056000	0.525000	1403661511	1096575	3754759	3699706	792	292437945	
4.250000	streamcluster	1	403	33.000000	5.056000	0.525000	1401500502	1214435	3743440	3688403	142	292536483	
4.250000	streamcluster	1	403	34.000000	5.056000	0.485000	1397379180	1097389	3700391	3643803	154	291294964	
4.000000	streamcluster	1	518	33.000000	5.056000	0.606000	1400461579	1338929	3642954	3588937	140	288726170	
4.000000	streamcluster	1	518	34.000000	5.056000	0.566000	1401463660	1337688	3694301	3639304	109	289836455	
