Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	BR_MIS_PRED	BR_PRED	MEM_ACCESS	L1I_CACHE	L1D_CACHE_WB
12.000000	fluidanimate	1	102	36.000000	5.072000	0.243000	1476179170	9241415	239665827	471911323	600549174	4492769	
13.000000	fluidanimate	1	102	36.000000	5.072000	0.284000	1480455367	9227460	239554859	471837154	599024327	4565828	
13.000000	fluidanimate	1	102	36.000000	5.072000	0.243000	1490823978	9285426	240915281	474140067	602054723	4614219	
7.000000	fluidanimate	1	204	36.000000	5.064000	0.364000	1453553177	8822910	238118239	466730675	589936861	4377112	
7.000000	fluidanimate	1	204	36.000000	5.064000	0.364000	1441853487	8867383	236593724	463808967	586978212	4302396	
7.000000	fluidanimate	1	204	37.000000	5.064000	0.364000	1446017246	8844726	235926365	463103933	586816118	4312407	
5.000000	fluidanimate	1	307	36.000000	5.048000	0.484000	1451769202	8686690	237251311	464172743	586430179	4225168	
5.000000	fluidanimate	1	307	37.000000	5.056000	0.444000	1446931656	8610643	236656496	463408301	584495061	4241169	
7.000000	fluidanimate	1	307	37.000000	5.056000	0.444000	1468421615	8735670	240429743	470066519	592244705	4286105	
4.000000	fluidanimate	1	403	36.000000	5.056000	0.485000	1448304843	8588098	235533553	461145153	582535612	4163924	
4.000000	fluidanimate	1	403	37.000000	5.056000	0.525000	1451396611	8671714	235427684	460920725	582933815	4138868	
4.000000	fluidanimate	1	403	36.000000	5.056000	0.525000	1441789084	8534814	234226744	458745954	578352592	4149977	
4.000000	fluidanimate	1	518	37.000000	5.048000	0.566000	1469134802	8527830	236853270	462854105	583039527	4162636	
4.000000	fluidanimate	1	518	36.000000	5.048000	0.565000	1456618830	8501807	235148386	459871186	579849561	4099872	
3.000000	fluidanimate	1	518	37.000000	5.048000	0.605000	1455018855	8471975	234193417	458094366	577559904	4081527	
4.000000	fluidanimate	1	614	37.000000	5.048000	0.646000	1480781553	8592414	236230204	462029860	581849447	4127573	
4.000000	fluidanimate	1	614	37.000000	5.048000	0.646000	1480894753	8420715	236582529	462176065	581236004	4116670	
