Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	BR_MIS_PRED	BR_PRED	MEM_ACCESS	L1I_CACHE	L1D_CACHE_WB
3.000000	fluidanimate	1	921	31.000000	5.048000	0.767000	1518158814	8373450	235680339	460841054	579304208	4140672	
3.125000	fluidanimate	1	921	30.000000	5.040000	0.806000	1517620829	8397920	235409786	460549943	578894292	4128101	
2.937500	fluidanimate	1	1036	31.000000	5.040000	0.927000	1539783995	8343137	237522389	463347945	581869119	4159314	
2.812500	fluidanimate	1	1036	31.000000	5.040000	0.846000	1544082676	8356625	237568486	463498863	582189830	4215146	
2.875000	fluidanimate	1	1036	30.000000	5.040000	0.887000	1529698081	8351875	235112768	459639012	577922790	4142936	
2.812500	fluidanimate	1	1132	31.000000	5.040000	0.966000	1536491007	8304860	234899842	459029663	576654556	4106407	
2.750000	fluidanimate	1	1132	30.000000	5.040000	0.967000	1544478592	8476478	235830459	461087525	579708261	4125485	
2.875000	fluidanimate	1	1132	31.000000	5.040000	0.927000	1545699054	8313128	236046465	460937299	578703047	4150629	
2.750000	fluidanimate	1	1224	31.000000	5.032000	1.167000	1557651182	8324043	235720239	461111372	578359093	4095793	
2.687500	fluidanimate	1	1224	31.000000	5.032000	1.086000	1557792517	8403450	235204322	459530850	578040335	4108288	
2.812500	fluidanimate	1	1224	31.000000	5.040000	1.008000	1561601884	8358077	236093902	460925245	579214391	4175244	
2.750000	fluidanimate	1	1428	32.000000	5.024000	1.446000	1601433654	8333159	238203491	464700207	582887573	4161197	
2.500000	fluidanimate	1	1428	32.000000	5.024000	1.326000	1603658892	8316704	238096781	464265965	582751632	4182027	
2.562500	fluidanimate	1	1428	32.000000	5.024000	1.366000	1578720224	8305789	233878944	457569966	575398174	4047304	
2.625000	fluidanimate	1	1479	32.000000	5.016000	1.605000	1589277065	8277885	234394130	457889283	575732017	4092634	
2.687500	fluidanimate	1	1479	32.000000	5.016000	1.524000	1593688513	8280084	234778813	458497745	576226884	4124134	
2.500000	fluidanimate	1	1479	31.000000	5.024000	1.366000	1578609555	8276240	232789960	455523988	572664099	4112296	
14.500000	freqmine	1	102	30.000000	5.072000	0.243000	1484763720	9449245	241963501	470062661	597492270	4711687	
17.375000	freqmine	1	102	30.000000	5.072000	0.243000	1472168091	9213329	238804490	463842388	593008789	4613009	
14.812500	freqmine	1	102	30.000000	5.072000	0.243000	1479658600	9313868	240342877	466921205	594076048	4626695	
9.750000	freqmine	1	204	30.000000	5.056000	0.323000	1429859960	8917401	234465725	454403535	577153122	4341930	
8.375000	freqmine	1	204	31.000000	5.056000	0.323000	1428245460	8874321	234522858	454916430	577605622	4344150	
9.125000	freqmine	1	204	30.000000	5.064000	0.324000	1449871366	8866681	238226192	461081237	584097502	4484707	
5.187500	freqmine	1	307	31.000000	5.056000	0.404000	1438356116	8674465	235938618	456375021	577330197	4341251	
5.437500	freqmine	1	307	31.000000	5.056000	0.404000	1425623415	8734717	233038258	451435472	573110659	4224285	
5.687500	freqmine	1	307	31.000000	5.056000	0.404000	1426077656	8709445	233292836	451546139	572014387	4275438	
4.437500	freqmine	1	403	31.000000	5.056000	0.485000	1432848080	8602109	234430084	452948036	573714738	4210235	
4.625000	freqmine	1	403	31.000000	5.056000	0.485000	1427287921	8613006	231927806	448708730	569825642	4206496	
4.687500	freqmine	1	403	31.000000	5.056000	0.485000	1433380017	8641766	233319053	451081293	572312334	4141848	
4.250000	freqmine	1	518	31.000000	5.048000	0.565000	1441977408	8528999	231925396	449279145	568061609	4233662	
3.875000	freqmine	1	518	31.000000	5.056000	0.525000	1433472738	8454681	232245056	449247579	567580597	4106945	
3.937500	freqmine	1	518	31.000000	5.056000	0.524000	1439617174	8489164	232946791	450292104	568432109	4176599	
3.625000	freqmine	1	614	31.000000	5.048000	0.605000	1458826080	8479372	233551189	450974787	571019987	4213916	
3.687500	freqmine	1	614	31.000000	5.048000	0.605000	1439199484	8486504	230147461	445155559	564506407	4103879	
3.750000	freqmine	1	614	31.000000	5.056000	0.566000	1452564676	8529523	231900974	448579106	568767834	4171316	
3.687500	freqmine	1	710	32.000000	5.048000	0.686000	1459396470	8442901	232050141	448277368	566961664	4158123	
4.312500	freqmine	1	710	31.000000	5.048000	0.686000	1466362328	8454570	232485616	449197788	568085292	4155531	
3.750000	freqmine	1	710	31.000000	5.048000	0.686000	1466600696	8431452	232349110	448817671	568259255	4103529	
3.000000	freqmine	1	921	32.000000	5.040000	0.806000	1505343985	8409388	234549396	452433385	571683769	4157869	
3.500000	freqmine	1	921	32.000000	5.040000	0.806000	1484519100	8345073	231020018	446776264	565130252	4021016	
3.000000	freqmine	1	921	32.000000	5.040000	0.806000	1492188833	8386214	232214556	448746488	566882321	4074621	
2.750000	freqmine	1	1036	31.000000	5.040000	0.846000	1501664835	8390745	230794334	445786789	564561381	4099073	
2.875000	freqmine	1	1036	32.000000	5.048000	0.848000	1515202628	8407400	233115230	450339619	568258246	4151737	
3.375000	freqmine	1	1036	31.000000	5.040000	0.846000	1510990635	8432880	232154735	448601465	566635575	4121658	
2.625000	freqmine	1	1132	32.000000	5.040000	0.927000	1516380594	8324005	231862880	447932445	565918951	4133372	
2.750000	freqmine	1	1132	32.000000	5.040000	0.927000	1518296423	8417578	231388138	447724020	566503592	4141251	
2.625000	freqmine	1	1132	32.000000	5.040000	0.887000	1518688797	8401425	231743131	447532418	565883342	4091956	
2.625000	freqmine	1	1224	32.000000	5.032000	1.046000	1527314781	8425221	231089535	446859861	565764324	4042077	
2.625000	freqmine	1	1224	32.000000	5.032000	1.086000	1546776763	8396755	234881083	452896304	572345004	4184400	
2.875000	freqmine	1	1224	31.000000	5.032000	1.127000	1540402283	8358360	232269202	448915366	566738459	4127556	
2.750000	freqmine	1	1428	32.000000	5.024000	1.406000	1563617251	8302503	232505333	448943929	566909553	4106756	
2.625000	freqmine	1	1428	32.000000	5.032000	1.247000	1554771209	8266989	231015071	446098267	565114039	4202660	
2.875000	freqmine	1	1428	32.000000	5.024000	1.326000	1562961639	8365429	232148245	448591635	566070897	4104523	
2.625000	freqmine	1	1479	32.000000	5.024000	1.487000	1565711210	8303328	232134655	448321885	565205021	4222274	
3.000000	freqmine	1	1479	32.000000	5.032000	1.288000	1564910966	8331547	231127693	446695902	564264236	4068221	
2.875000	freqmine	1	1479	33.000000	5.024000	1.366000	1562271820	8368626	230290058	445688896	563343067	4055232	
13.875000	streamcluster	1	102	31.000000	5.064000	0.243000	1423898837	8853669	229351962	451237302	571394661	4516272	
16.500000	streamcluster	1	102	31.000000	5.064000	0.243000	1440469224	8860361	231383878	454461993	575616979	4528152	
17.000000	streamcluster	1	102	31.000000	5.072000	0.243000	1428303436	8803969	229785301	451450912	571939729	4447670	
9.750000	streamcluster	1	204	31.000000	5.064000	0.364000	1389841002	8517648	225561932	442219893	559110152	4170152	
7.875000	streamcluster	1	204	31.000000	5.056000	0.404000	1430777896	8587349	227108368	445477714	563567041	4285791	
10.375000	streamcluster	1	204	31.000000	5.064000	0.364000	1410517778	8507294	227844618	446404803	563759204	4250415	
