Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L1D_CACHE_ST	L1D_CACHE_REFILL_LD	L1D_CACHE_REFILL_ST	L1D_CACHE_WB_VICTIM	L1D_CACHE_WB_CLEAN
4.000000	freqmine	1	614	36.000000	5.048000	0.605000	1445358746	191108426	8594659	1861302	3973623	121672	
4.000000	freqmine	1	614	36.000000	5.048000	0.605000	1455385589	192315893	8706885	1878474	4025289	124625	
2.000000	freqmine	1	614	36.000000	5.056000	0.646000	1453152580	192146750	8526830	1825551	3945280	124363	
4.000000	freqmine	1	710	36.000000	5.040000	0.766000	1478836787	194482854	8710964	1862693	4042593	124386	
4.000000	freqmine	1	710	36.000000	5.048000	0.726000	1476558472	193341908	8610480	1853472	4000560	123157	
2.000000	freqmine	1	710	36.000000	5.048000	0.686000	1476929498	192684314	8733029	1819895	3977196	126681	
2.000000	freqmine	1	921	36.000000	5.040000	0.846000	1488547910	191117284	8452457	1828632	3950327	120104	
4.000000	freqmine	1	921	36.000000	5.040000	0.846000	1496565814	192092726	8491040	1835019	3970266	119655	
4.000000	freqmine	1	921	37.000000	5.040000	0.846000	1499205972	191681254	8583104	1854031	4012921	117934	
2.000000	freqmine	1	1036	37.000000	5.040000	0.967000	1513661097	191688782	8453310	1820200	3952321	118324	
2.000000	freqmine	1	1036	36.000000	5.040000	0.927000	1521555702	193059373	8723980	1872799	4051154	118106	
2.000000	freqmine	1	1036	37.000000	5.040000	0.927000	1520442962	193360687	8576239	1787504	3946225	117652	
2.000000	freqmine	1	1132	36.000000	5.040000	0.887000	1518815021	191959240	8444243	1810600	3928427	117611	
2.000000	freqmine	1	1132	36.000000	5.040000	0.927000	1519965350	191947309	8486107	1828052	3948041	117104	
2.000000	freqmine	1	1132	36.000000	5.040000	0.927000	1518026003	191787612	8582080	1840352	3981605	120269	
4.000000	freqmine	1	1224	36.000000	5.032000	1.046000	1536458664	191980706	8497127	1834155	3963299	115388	
2.000000	freqmine	1	1224	37.000000	5.040000	1.008000	1529959570	190780953	8464202	1841274	3966268	116846	
2.000000	freqmine	1	1224	36.000000	5.032000	1.127000	1540424432	192166191	8554243	1833325	3954724	118867	
2.000000	freqmine	1	1428	37.000000	5.024000	1.366000	1563791044	191363374	8541165	1865387	3964778	117885	
2.000000	freqmine	1	1428	37.000000	5.024000	1.366000	1572471976	192495189	8589227	1865271	4045375	118744	
4.000000	freqmine	1	1428	38.000000	5.032000	1.247000	1549669959	190803815	8386346	1821327	3917156	116590	
4.000000	freqmine	1	1479	37.000000	5.024000	1.406000	1570144413	192405800	8494390	1780529	3924419	116970	
2.000000	freqmine	1	1479	37.000000	5.024000	1.527000	1559056130	190226263	8374598	1802485	3876688	114562	
