Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	ISB_SPEC	DSB_SPEC	DMB_SPEC	EXC_UNDEF	EXC_SVC
2.500000	ferret	1	1428	34.000000	5.056000	0.889000	1557813734	1837862	162722	3247444	0	35761	
3.000000	ferret	1	1428	33.000000	5.056000	0.930000	1568069465	1837292	159408	3392061	0	35753	
2.500000	ferret	1	1479	34.000000	5.056000	0.930000	1567028294	1838529	162055	3335553	0	35751	
3.000000	ferret	1	1479	33.000000	5.056000	0.970000	1575266357	1840264	162362	3332091	0	35756	
2.500000	ferret	1	1479	34.000000	5.048000	1.009000	1569624505	1838948	162758	3288167	0	35761	
14.000000	fluidanimate	1	102	33.000000	5.072000	0.243000	1485649328	1886314	168534	3418504	0	35663	
14.000000	fluidanimate	1	102	32.000000	5.072000	0.243000	1493778318	1889836	168339	3478820	0	35669	
15.500000	fluidanimate	1	102	32.000000	5.072000	0.243000	1482472059	1886091	168372	3363645	0	35668	
8.000000	fluidanimate	1	204	33.000000	5.064000	0.364000	1469003279	1866587	163808	3534158	0	35666	
7.000000	fluidanimate	1	204	32.000000	5.064000	0.364000	1465745566	1868629	164196	3568642	0	35669	
8.500000	fluidanimate	1	204	32.000000	5.064000	0.364000	1456378200	1863786	164577	3387648	0	35666	
6.000000	fluidanimate	1	307	33.000000	5.064000	0.405000	1445849895	1854476	160896	3354537	0	35669	
5.000000	fluidanimate	1	307	33.000000	5.064000	0.405000	1458579478	1859345	162698	3486142	0	35672	
6.000000	fluidanimate	1	307	32.000000	5.064000	0.405000	1451547960	1854967	161537	3348505	0	35669	
4.000000	fluidanimate	1	403	33.000000	5.056000	0.485000	1441181921	1847877	160958	3289020	0	35669	
5.000000	fluidanimate	1	403	33.000000	5.056000	0.485000	1454177323	1848268	159863	3375791	0	35666	
4.000000	fluidanimate	1	403	32.000000	5.056000	0.485000	1472313693	1857487	164184	3495146	0	35669	
4.000000	fluidanimate	1	518	33.000000	5.056000	0.566000	1463459676	1850418	162500	3354841	0	35669	
4.000000	fluidanimate	1	518	32.000000	5.056000	0.566000	1460972713	1849278	161214	3390577	0	35666	
4.000000	fluidanimate	1	518	33.000000	5.056000	0.566000	1463955746	1847500	160873	3358584	0	35663	
4.000000	fluidanimate	1	614	32.000000	5.056000	0.606000	1476437155	1845036	161078	3376134	0	35669	
5.000000	fluidanimate	1	614	33.000000	5.056000	0.606000	1471764833	1846209	162900	3308111	0	35663	
4.000000	fluidanimate	1	614	33.000000	5.056000	0.606000	1475643323	1847998	160960	3344624	0	35669	
3.000000	fluidanimate	1	710	33.000000	5.048000	0.686000	1487837816	1843841	159804	3352386	0	35669	
3.000000	fluidanimate	1	710	33.000000	5.056000	0.647000	1501901879	1848216	160988	3484841	0	35669	
4.000000	fluidanimate	1	710	33.000000	5.048000	0.686000	1487907616	1844461	161171	3340099	0	35669	
4.000000	fluidanimate	1	921	33.000000	5.048000	0.848000	1523845777	1845236	159213	3428189	0	35669	
3.000000	fluidanimate	1	921	33.000000	5.048000	0.767000	1518254088	1843899	161370	3347887	0	35669	
3.000000	fluidanimate	1	921	33.000000	5.048000	0.807000	1519904477	1848263	160353	3331748	0	35669	
3.000000	fluidanimate	1	1036	33.000000	5.040000	1.008000	1539090380	1843279	160411	3368712	0	35663	
3.000000	fluidanimate	1	1036	34.000000	5.040000	0.888000	1535535204	1844566	160179	3368092	0	35669	
3.000000	fluidanimate	1	1036	33.000000	5.040000	0.927000	1533007777	1840807	158764	3347190	0	35669	
3.000000	fluidanimate	1	1132	33.000000	5.048000	0.928000	1542020063	1846938	159001	3370561	0	35663	
3.000000	fluidanimate	1	1132	33.000000	5.040000	0.927000	1537952556	1841535	158906	3334669	0	35669	
4.000000	fluidanimate	1	1132	33.000000	5.048000	0.928000	1551476900	1845890	160747	3461609	0	35669	
